"Discount";"Sales";"Age";"Prev_Purch";"Loyalty_card"
1;1702;57;3;1
1;1498;38;5;1
0;1500;33;1;1
1;1414;25;6;1
0;1506;34;2;1
0;1754;62;1;1
0;1464;47;2;0
1;1340;63;9;0
0;1692;61;5;1
1;1447;54;8;1
0;1560;60;5;0
1;1326;48;7;0
0;1406;40;3;0
1;1289;42;7;0
0;1539;53;6;1
1;1362;47;8;1
0;1592;58;1;0
0;1782;69;6;1
1;1350;49;7;0
0;1478;48;1;0
0;1697;58;3;1
1;1544;42;4;1
1;1518;36;3;1
0;1545;57;4;0
1;1382;37;7;1
0;1501;44;5;1
0;1403;46;5;0
0;1561;63;6;0
0;1492;34;3;1
0;1443;54;6;0
1;1569;44;3;1
0;1635;63;3;0
0;1603;50;3;1
1;1557;44;4;1
1;1723;60;4;1
0;1491;50;2;0
1;1367;39;5;0
1;1410;44;5;0
1;1168;60;10;0
0;1624;51;3;1
0;1552;60;5;0
1;1692;59;5;1
1;1380;59;8;0
0;1459;46;2;0
1;1428;33;6;1
1;1475;42;6;1
1;1260;36;7;0
0;1441;44;3;0
1;1529;49;6;1
0;1742;62;4;1
0;1682;56;1;1
0;1367;36;4;0
0;1476;48;2;0
0;1167;50;9;0
1;1470;60;7;0
0;1963;74;3;1
0;1714;59;3;1
1;1304;44;7;0
0;1567;45;2;1
1;1625;52;4;1
1;1224;43;8;0
1;1566;49;5;1
1;1575;53;6;1
1;1611;53;5;1
0;1471;48;3;0
0;1518;52;2;0
1;1273;47;9;1
0;1811;66;3;1
1;1573;49;5;1
0;1907;71;3;1
1;1500;33;4;1
1;1617;72;9;1
1;1376;58;8;0
0;1478;50;4;0
0;1439;47;4;0
1;1447;45;4;0
1;1277;39;7;0
1;1298;42;7;0
0;1318;39;6;0
0;1530;53;2;0
1;1176;22;9;1
1;1526;54;7;1
0;1543;59;5;0
0;1477;32;4;1
1;1375;39;5;0
1;1577;53;6;1
0;1373;47;6;0
0;1435;54;6;0
1;1510;41;5;1
1;1673;58;5;1
0;1551;45;3;1
1;1169;30;8;0
1;1151;47;9;0
1;1416;51;8;1
0;1638;52;3;1
1;1407;54;7;0
1;1485;44;6;1
1;1429;53;8;1
0;1935;73;3;1
1;1430;62;8;0
1;1655;57;5;1
0;1368;30;2;0
1;1453;54;6;0
1;1710;59;4;1
0;1816;69;5;1
0;1399;51;6;0
0;1685;58;4;1
0;1739;62;4;1
0;1637;53;3;1
1;1232;43;9;1
0;1393;39;3;0
1;1810;67;5;1
0;1585;47;1;1
0;1455;35;5;1
1;1253;34;7;0
1;968;57;11;0
1;1386;39;7;1
1;1399;41;7;1
0;1495;51;3;0
1;1643;56;5;1
0;1528;53;1;0
1;1347;56;8;0
1;1573;44;2;1
1;1452;50;5;0
0;1509;38;3;1
1;1607;60;4;0
1;1329;63;10;1
1;1614;58;6;1
1;1523;49;6;1
0;1641;68;6;0
1;1555;48;5;1
1;1058;35;10;1
0;1392;39;4;0
1;1369;46;8;1
1;952;37;10;0
1;1365;51;7;0
0;1612;50;2;1
0;1482;48;2;0
1;1516;53;7;1
1;1461;59;7;0
0;1406;43;4;0
1;1094;40;9;0
1;1659;54;4;1
1;1556;48;5;1
0;1606;50;3;1
0;1497;55;5;0
0;1710;69;5;0
1;1425;56;7;0
0;1597;48;0;1
1;1138;46;9;0
1;1241;33;7;0
0;1805;68;5;1
0;1547;55;2;0
1;1724;60;4;1
0;1509;45;5;1
0;1433;46;4;0
1;1727;62;5;1
1;1380;35;4;0
1;1393;41;5;0
0;1800;65;3;1
1;1713;59;4;1
0;1511;63;7;0
0;1491;55;5;0
1;1359;27;7;1
1;1582;59;7;1
1;1776;65;5;1
1;1325;39;6;0
1;1555;40;2;1
1;1519;53;7;1
1;1066;52;10;0
0;1472;57;6;0
0;1556;43;1;1
1;1325;46;7;0
1;1480;51;5;0
1;1610;49;3;1
0;1609;49;1;1
0;1675;57;4;1
1;1541;39;3;1
1;1200;41;8;0
1;1315;53;8;0
0;1556;56;3;0
1;1523;59;6;0
1;1638;53;4;1
1;1505;46;6;1
1;1706;60;5;1
1;1466;42;6;1
1;793;37;11;0
1;1440;47;5;0
0;1547;57;4;0
0;1884;76;3;0
0;1508;59;6;0
0;1591;50;4;1
1;1536;49;6;1
0;1542;56;4;0
0;1446;44;1;0
1;1539;55;7;1
0;1605;49;2;1
0;1518;40;3;1
1;1596;51;5;1
1;1422;47;5;0
0;1645;55;4;1
0;1540;42;3;1
1;1516;38;4;1
1;1550;56;7;1
1;1106;58;11;1
1;1463;48;7;1
1;1421;47;5;0
0;1471;50;4;0
1;1616;56;6;1
0;1916;71;2;1
0;1707;72;6;0
0;1570;46;1;1
1;1469;49;7;1
0;1765;63;3;1
1;1017;51;11;1
0;1457;48;3;0
1;1589;59;7;1
1;1553;51;6;1
1;1728;58;2;1
0;1385;48;6;0
1;1776;71;7;1
0;1537;59;5;0
0;1516;50;6;1
